title,summary,source_url,verified
People Unfamiliar with Issues,People unfamiliar with different issues and not motivated to learn,,true
Time Limitations,Time limited to dedicate to participate in events,,true
Personal Bias,Bias towards personal experience,,true
Local Focus Limitations,Local focus limits who will engage (ex. DC Statehood),,true
Information Verification & Truth,"Verification of information. People don't know #Truth... Facts vs. Fiction, what to believe",,true
Limited Community Awareness,Limited awareness regarding the harm and needs in a community,,true
Low Voter Participation,Low voter participation,,true
Low Literacy Levels,Low literacy levels and people not able to read deeply,,true
Fear Preventing Action,Fear prevents action when consequences are personal,,true
Social Media & Negative Messaging,Social media scales the speed in which negative messages spread ie. public shaming or dehumanizing groups,,true
People Unfamiliar with Issues,People unfamiliar with different issues and not motivated to learn,,true
Time Limitations,Time limited to dedicate to participate in events,,true
Personal Bias,Bias towards personal experience,,true
Local Focus Limitations,Local focus limits who will engage (ex. DC Statehood),,true
Information Verification & Truth,"Verification of information. People don't know #Truth... Facts vs. Fiction, what to believe",,true
Limited Community Awareness,Limited awareness regarding the harm and needs in a community,,true
Low Voter Participation,Low voter participation,,true
Low Literacy Levels,Low literacy levels and people not able to read deeply,,true
Fear Preventing Action,Fear prevents action when consequences are personal,,true
Social Media & Negative Messaging,Social media scales the speed in which negative messages spread ie. public shaming or dehumanizing groups,,true
